county,facts_stated,pages_captured,has_elections_page,mentions_nov3,mentions_past_2026,elections_referenced,nov3_mentions,last_text_change,days_since_change
fisher,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-16,4
floyd,1,2,yes,yes,yes,Nov 3 general (upcoming); May 2 uniform (past); Mar 3 primary (past); May 26 primary runoff (past),1,2026-08-20,0
foard,1,2,yes,yes,yes,May 26 primary runoff (past); Mar 3 primary (past); Nov 3 general (upcoming),1,2026-08-15,5
fort_bend,0,5,yes,no,yes,Jun 13 runoff (past); May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),0,2026-08-20,0
franklin,4,4,yes,yes,yes,May 2 uniform (past); Nov 3 general (upcoming); Mar 3 primary (past); May 26 primary runoff (past),4,2026-08-20,0
freestone,1,2,yes,yes,yes,May 2 uniform (past); Mar 3 primary (past); May 26 primary runoff (past); Nov 3 general (upcoming),1,2026-08-06,14
frio,4,3,yes,yes,yes,Mar 3 primary (past); May 26 primary runoff (past); Nov 3 general (upcoming); May 2 uniform (past),1,2026-08-20,0
gaines,1,2,yes,no,yes,Mar 3 primary (past); May 2 uniform (past); May 26 primary runoff (past),0,2026-07-28,23
galveston,0,5,yes,yes,yes,Nov 3 general (upcoming); Jun 13 runoff (past); May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),1,2026-08-20,0
garza,2,5,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-08,12
gillespie,4,3,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); Mar 3 primary (past); May 2 uniform (past),2,2026-08-20,0
glasscock,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-14,6
goliad,3,2,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming); Mar 3 primary (past); May 2 uniform (past),3,2026-08-08,12
gonzales,4,2,yes,yes,yes,Mar 3 primary (past); May 2 uniform (past); May 26 primary runoff (past); Nov 3 general (upcoming),3,2026-08-05,15
gray,4,4,yes,yes,yes,May 2 uniform (past); Nov 3 general (upcoming); May 26 primary runoff (past); Mar 3 primary (past),2,2026-08-01,19
grayson,2,5,yes,yes,yes,May 2 uniform (past); Nov 3 general (upcoming); Mar 3 primary (past); May 26 primary runoff (past),2,2026-08-20,0
gregg,3,5,yes,yes,yes,Nov 3 general (upcoming); Jun 13 runoff (past); May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),3,2026-08-20,0
grimes,0,5,yes,no,yes,May 2 uniform (past),0,2026-08-20,0
guadalupe,1,5,yes,yes,yes,May 26 primary runoff (past); Jun 13 runoff (past); Nov 3 general (upcoming); May 2 uniform (past),1,2026-07-28,23
hale,0,2,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-06,14
hall,0,2,yes,no,yes,May 2 uniform (past); Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-14,6
hamilton,4,2,yes,yes,yes,Mar 3 primary (past); May 26 primary runoff (past); May 2 uniform (past); Nov 3 general (upcoming),2,2026-08-20,0
hansford,1,2,yes,no,no,none of the 2026 calendar,0,2026-08-15,5
hardeman,0,2,yes,no,yes,May 26 primary runoff (past); Mar 3 primary (past),0,2026-08-20,0
hardin,2,2,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-12,8
harris,1,4,yes,yes,no,Nov 3 general (upcoming),1,2026-08-20,0
harrison,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-13,7
hartley,2,2,yes,yes,yes,May 2 uniform (past); Nov 3 general (upcoming); May 26 primary runoff (past); Mar 3 primary (past),1,2026-08-20,0
haskell,0,2,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-18,2
hays,1,5,yes,yes,no,Nov 3 general (upcoming),7,2026-08-20,0
hemphill,4,4,yes,yes,yes,Mar 3 primary (past); May 26 primary runoff (past); Nov 3 general (upcoming); May 2 uniform (past),4,2026-08-20,0
henderson,0,1,no,no,no,none of the 2026 calendar,0,2026-08-20,0
hidalgo,1,5,yes,yes,no,Nov 3 general (upcoming),1,2026-08-20,0
hill,1,2,yes,yes,yes,May 2 uniform (past); Nov 3 general (upcoming); May 26 primary runoff (past),2,2026-08-20,0
